PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"37483827","PharmaChain: Blockchain-based drug supply chain provenance verification system","Gomasta SS, Dhali A, Tahlil T, Anwar MM, Ali ABMS.","Heliyon. 2023 Jul 10;9(7):e17957. doi: 10.1016/j.heliyon.2023.e17957. eCollection 2023 Jul.","Gomasta SS","Heliyon","2023","2023/07/24","PMC10362317","","10.1016/j.heliyon.2023.e17957"
"34003431","The C-BIG Repository: an Institution-Level Open Science Platform","Das S, Abou-Haidar R, Rabalais H, Sun SDLW, Rosli Z, Chatpar K, Boivin MN, Tabatabaei M, Rogers C, Legault M, Lo D, Degroot C, Dagher A, Dyke SOM, Durcan TM, Seyller A, Doyon J, Poupon V, Fon EA, Genge A, Rouleau GA, Karamchandani J, Evans AC.","Neuroinformatics. 2022 Jan;20(1):139-153. doi: 10.1007/s12021-021-09516-9. Epub 2021 May 18.","Das S","Neuroinformatics","2022","2021/05/18","PMC9537233","","10.1007/s12021-021-09516-9"
"34382729","Improving Reproducibility in Hydrogen Storage Material Research","Broom DP, Hirscher M.","Chemphyschem. 2021 Nov 4;22(21):2141-2157. doi: 10.1002/cphc.202100508. Epub 2021 Aug 31.","Broom DP","Chemphyschem","2021","2021/08/12","PMC8596736","","10.1002/cphc.202100508"
"36040302","Neuroscout, a unified platform for generalizable and reproducible fMRI research","de la Vega A, Rocca R, Blair RW, Markiewicz CJ, Mentch J, Kent JD, Herholz P, Ghosh SS, Poldrack RA, Yarkoni T.","Elife. 2022 Aug 30;11:e79277. doi: 10.7554/eLife.79277.","de la Vega A","Elife","2022","2022/08/30","PMC9489206","","10.7554/eLife.79277"
"41040803","A decentralized future for the open-science databases","Sharma G, Munteanu V, Ghiasi NM, Banerjee J, Varma S, Foschini L, Ellrott K, Mutlu O, Ciorbă D, Ophoff RA, Bostan V, Mason CE, Moore JH, Sousoni D, Krishnan A, Mason CE, Dimian M, Stolovitzky G, Liberante FG, Oleksyk TK, Mangul S.","ArXiv [Preprint]. 2025 Sep 23:arXiv:2509.19206v1.","Sharma G","ArXiv","2025","2025/10/03","PMC12486051","",""
"38715763","Harnessing Blockchain to Transform Healthcare Data Management: A Comprehensive Research Agenda","Treiblmaier H, Rejeb A, Gault M, Khurshid A, Norta A, Poteet J, Sivagnanam S.","Blockchain Healthc Today. 2024 Apr 30;7. doi: 10.30953/bhty.v7.301. eCollection 2024.","Treiblmaier H","Blockchain Healthc Today","2024","2024/05/08","PMC11073478","","10.30953/bhty.v7.301"
"35064372","Studierfenster: an Open Science Cloud-Based Medical Imaging Analysis Platform","Egger J, Wild D, Weber M, Bedoya CAR, Karner F, Prutsch A, Schmied M, Dionysio C, Krobath D, Jin Y, Gsaxner C, Li J, Pepe A.","J Digit Imaging. 2022 Apr;35(2):340-355. doi: 10.1007/s10278-021-00574-8. Epub 2022 Jan 21.","Egger J","J Digit Imaging","2022","2022/01/22","PMC8782222","","10.1007/s10278-021-00574-8"
"35646514","Methods of medical data management based on blockchain technologies","Hovorushchenko T, Moskalenko A, Osyadlyi V.","J Reliab Intell Environ. 2023;9(1):5-16. doi: 10.1007/s40860-022-00178-1. Epub 2022 May 24.","Hovorushchenko T","J Reliab Intell Environ","2023","2022/06/01","PMC9127494","","10.1007/s40860-022-00178-1"
"36504549","In defense of decentralized research data management","Hanke M, Pestilli F, Wagner AS, Markiewicz CJ, Poline JB, Halchenko YO.","Neuroforum. 2021;27(1):17-25. doi: 10.1515/nf-2020-0037. Epub 2021 Jan 11.","Hanke M","Neuroforum","2021","2022/12/12","PMC9731181","NIHMS1849159","10.1515/nf-2020-0037"
"37449155","Blockchain-based fake news traceability and verification mechanism","Wang X, Xie H, Ji S, Liu L, Huang D.","Heliyon. 2023 Jun 15;9(7):e17084. doi: 10.1016/j.heliyon.2023.e17084. eCollection 2023 Jul.","Wang X","Heliyon","2023","2023/07/14","PMC10336416","","10.1016/j.heliyon.2023.e17084"
